fixed acidity,volatile acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,total sulfur dioxide,density（负相关）,pH（正相关）,chlorides（负相关）,alcohol（正相关）,quality
6.4,0.25,0.41,8.6,57,0.44,173,0.9965,3,0.042,9.1,5
6.3,0.32,0.35,11.1,29,0.5,198,0.9984,3.36,0.039,9.4,7
6.8,0.25,0.29,2,19,0.54,189,0.9952,3.46,0.042,10.2,6
9.8,0.44,0.4,2.8,35,0.39,167,0.9956,2.97,0.036,9.2,5
7.2,0.2,0.25,4.5,31,0.36,109,0.9949,3.23,0.044,9.4,5
8.2,0.61,0.45,5.4,15,0.34,118,0.9954,3.14,0.03,9.6,5
7.5,0.42,0.45,9.1,20,0.36,125,0.996,3.12,0.029,10.1,6
7.4,0.22,0.33,2,31,0.55,101,0.9931,3.42,0.045,11.4,5
6.4,0.26,0.3,2.2,33,0.47,134,0.992,3.21,0.025,10.6,6
7.9,0.46,0.32,4.1,40,0.44,138,0.9912,3.18,0.033,12.8,7
6.5,0.41,0.64,11.8,65,0.51,225,0.9978,3.12,0.065,8.9,5
7.5,0.32,0.37,1.2,22,0.43,184,0.9938,3.09,0.048,9.3,5
6.6,0.21,0.38,2.2,40,0.4,104,0.9914,3.25,0.026,11.1,8
7.1,0.21,0.3,1.4,45,0.33,143,0.9932,3.13,0.037,9.9,6
7.6,0.26,0.47,1.6,5,0.45,55,0.9944,3.1,0.068,9.6,5
7.6,0.21,0.44,1.9,10,0.7,119,0.9913,3.01,0.036,12.8,6
6.9,0.25,0.26,5.2,36,0.72,135,0.9948,3.16,0.024,10.7,7
7.1,0.26,0.32,14.45,29,0.42,107,0.998,2.96,0.074,9.2,6
7.3,0.22,0.4,14.75,44.5,0.41,129.5,0.9998,3.36,0.042,9.1,7
6.2,0.37,0.22,8.3,36,0.6,216,0.9964,3.33,0.025,9.6,6
7.9,0.22,0.45,14.2,53,0.46,141,0.9992,3.03,0.038,9.2,6
6.9,0.25,0.26,5.2,36,0.72,135,0.9948,3.16,0.024,10.7,7
7.3,0.22,0.4,14.75,44.5,0.41,129.5,0.9998,3.36,0.042,9.1,7
7.1,0.26,0.32,14.45,29,0.42,107,0.998,2.96,0.074,9.2,6
7.4,0.25,0.37,6.9,14,0.48,93,0.9939,3,0.02,10.7,7
6.8,0.18,0.37,1.5,37,0.45,93,0.992,3.3,0.027,10.8,6
7,0.17,0.37,1.5,26,0.46,75,0.9922,3.3,0.028,10.8,7
6.4,0.3,0.38,7.8,35,0.37,192,0.9955,3.1,0.046,9,5
5,0.33,0.16,1.5,10,0.44,97,0.9917,3.48,0.049,10.7,6
5,0.33,0.16,1.5,10,0.44,97,0.9917,3.48,0.049,10.7,6
8.9,0.33,0.32,1.5,11,0.46,200,0.9954,3.19,0.047,9.4,5
7,0.26,0.46,15.55,61,0.35,171,0.9986,2.94,0.037,8.8,6
6.4,0.3,0.38,7.8,35,0.37,192,0.9955,3.1,0.046,9,5
6.3,0.21,0.4,1.7,48,0.49,134,0.9917,3.42,0.031,11.5,6
8,0.23,0.46,1.5,30,0.47,125,0.9907,3.23,0.03,12.5,6
9.2,0.28,0.41,1,14,0.25,59,0.9922,2.96,0.042,10.5,6
7.3,0.27,0.39,6.7,28,0.3,188,0.9958,3.29,0.064,9.7,5
7.6,0.32,0.36,1.6,32,0.52,155,0.993,3.23,0.04,11.3,6
5,0.33,0.16,1.5,10,0.44,97,0.9917,3.48,0.049,10.7,6
9.7,0.24,0.45,1.2,11,0.47,59,0.9926,2.74,0.033,10.8,6
8,0.28,0.42,7.1,41,0.43,169,0.9959,3.17,0.045,10.6,5
8.2,0.37,0.36,1,17,0.32,93,0.9906,3.04,0.034,11.7,8
8,0.61,0.38,12.1,24,0.48,220,0.9993,2.94,0.301,9.2,5
7.2,0.26,0.44,7.1,25,0.34,126,0.993,3.02,0.027,11.1,8
8.2,0.37,0.36,1,17,0.32,93,0.9906,3.04,0.034,11.7,8
6.4,0.23,0.33,1.15,15.5,0.44,217.5,0.992,3.33,0.044,11,6
5.9,0.4,0.32,6,50,0.58,127,0.992,3.51,0.034,12.5,7
7.6,0.28,0.39,1.2,21,0.67,115,0.994,3.16,0.038,10,6
8,0.28,0.42,7.1,41,0.43,169,0.9959,3.17,0.045,10.6,5
7.2,0.23,0.39,2.3,29,0.54,102,0.9908,3.26,0.033,12.3,7
6.8,0.32,0.37,3.4,19,0.53,87,0.9902,3.14,0.023,12.7,6
7.2,0.23,0.39,2.3,29,0.54,102,0.9908,3.26,0.033,12.3,7
6.9,0.18,0.38,6.5,20,0.42,110,0.9943,3.1,0.039,10.5,5
9.4,0.26,0.53,1.2,25,0.28,109,0.9921,3.23,0.047,12.5,6
8.3,0.33,0.42,1.15,18,0.32,96,0.9911,3.2,0.033,12.4,3
7.3,0.29,0.3,13,46,0.41,238,0.9986,3.06,0.043,8.7,6
7.9,0.41,0.37,4.5,40,0.54,114,0.992,3.17,0.03,12.4,7
7.9,0.44,0.37,5.85,27,0.54,93,0.992,3.16,0.033,12.6,7
7.7,0.39,0.3,5.2,29,0.44,131,0.9943,3.38,0.037,11,6
7.7,0.26,0.31,1.3,47,0.5,155,0.9937,3.42,0.043,10.1,6
7.8,0.32,0.31,1.7,46,0.48,195,0.993,3.03,0.036,10.5,5
6.8,0.32,0.37,3.4,19,0.53,87,0.9902,3.14,0.023,12.7,6
7.3,0.24,0.39,3.6,35,0.51,116,0.9928,3.17,0.024,10.9,5
7.1,0.44,0.37,2.7,35,0.43,128,0.9896,3.07,0.041,13.5,7
10.3,0.25,0.48,2.2,28,0.59,164,0.998,3.19,0.042,9.7,5
7.9,0.14,0.28,1.8,44,0.43,178,0.9954,3.45,0.041,9.2,6
7.4,0.18,0.42,2.1,33,0.41,187,0.9938,3.4,0.036,10.6,7
8.1,0.43,0.42,6.6,36,0.39,141,0.9918,2.98,0.033,13.3,7
7.1,0.44,0.37,2.7,35,0.43,128,0.9896,3.07,0.041,13.5,7
6.4,0.26,0.22,5.1,23,0.32,131,0.9944,3.29,0.037,10.1,5
8,0.66,0.72,17.55,62,0.68,233,0.9999,2.92,0.042,9.4,4
8,0.2,0.4,5.2,41,0.4,167,0.9953,3.18,0.055,10.6,7
7.2,0.21,0.34,1.1,25,0.4,80,0.992,3.25,0.046,11.3,6
7.2,0.18,0.31,1.1,20,0.4,73,0.9925,3.32,0.045,10.8,7
8.4,0.57,0.44,10.7,46,0.51,195,0.9981,3.15,0.051,10.4,5
5.3,0.26,0.23,5.15,48,0.51,160,0.9952,3.82,0.034,10.5,7
5.7,0.245,0.33,1.1,28,0.42,150,0.9927,3.13,0.049,9.3,5
5.6,0.245,0.32,1.1,24,0.42,152,0.9927,3.12,0.047,9.3,6
7.3,0.25,0.41,1.8,52,0.39,165,0.9911,3.29,0.037,12.2,7
7,0.16,0.73,1,58,0.3,150,0.9936,3.08,0.138,9.2,5
6.4,0.22,0.34,1.8,29,0.57,104,0.9959,3.81,0.057,10.3,6
7.3,0.18,0.65,1.4,28,0.62,157,0.9946,3.33,0.046,9.4,6
6.4,0.17,0.27,6.7,88,0.35,223,0.9948,3.28,0.036,10.2,6
6.9,0.29,0.16,6.8,65,0.39,212,0.9955,3.08,0.034,9,6
6.2,0.21,0.38,6.8,64,0.36,245,0.9951,3.06,0.036,9.3,6
6.4,0.23,0.3,7.1,63,0.34,236,0.9952,3.06,0.037,9.2,6
7.3,0.19,0.68,1.5,31,0.64,156,0.9946,3.32,0.05,9.4,6
7.3,0.18,0.65,1.4,28,0.62,157,0.9946,3.33,0.046,9.4,6
9.6,0.29,0.46,1.45,77.5,0.46,223,0.9944,2.92,0.039,9.5,6
7.2,0.14,0.35,1.2,15,0.39,73,0.9938,3.46,0.036,9.9,5
6.9,0.31,0.34,7.4,36,0.62,174,0.9963,3.46,0.059,11.1,7
7.5,0.28,0.34,4.2,36,0.41,116,0.991,2.99,0.028,12.3,8
8,0.22,0.42,14.6,45,0.69,163,1.0003,3.21,0.044,8.6,7
7.6,0.31,0.29,10.5,21,0.35,145,0.9966,3.04,0.04,9.4,5
8.4,0.35,0.56,13.8,55,0.58,190,0.9993,3.07,0.048,9.4,6
8,0.22,0.42,14.6,45,0.69,163,1.0003,3.21,0.044,8.6,7
8.1,0.5,0.47,1.1,23,0.42,126,0.9938,3.21,0.037,10.9,5
7,0.39,0.31,5.3,32,0.48,162,0.9965,3.2,0.169,9.4,5
8.1,0.5,0.47,1.1,23,0.42,126,0.9938,3.21,0.037,10.9,5
8.4,0.35,0.56,13.8,55,0.58,190,0.9993,3.07,0.048,9.4,6
6.2,0.22,0.27,1.5,20,0.46,132,0.9938,3.22,0.064,9.2,6
8,0.22,0.42,14.6,45,0.69,163,1.0003,3.21,0.044,8.6,7
7.6,0.31,0.29,10.5,21,0.35,145,0.9966,3.04,0.04,9.4,5
7,0.24,0.36,4.9,10,0.37,133,0.9942,3.33,0.083,10.8,6
6.6,0.27,0.3,1.9,14,0.62,153,0.9928,3.29,0.025,10.5,6
7.8,0.16,0.41,1.7,29,0.78,140,0.991,3.02,0.026,12.5,6
7.7,0.27,0.34,1.8,26,0.48,168,0.9911,2.99,0.028,12.1,7
7.4,0.31,0.74,10.7,51,0.43,147,0.9977,3.02,0.039,8.7,5
8,0.45,0.36,8.8,50,0.25,151,0.9927,3.07,0.026,12.7,8
7.7,0.27,0.34,1.8,26,0.48,168,0.9911,2.99,0.028,12.1,7
7.8,0.16,0.41,1.7,29,0.78,140,0.991,3.02,0.026,12.5,6
6.6,0.16,0.29,1.8,40,0.44,147,0.9912,3.06,0.05,11.4,7
8.3,0.21,0.4,1.6,35,0.6,110,0.9907,3.02,0.032,12.9,7
7.2,0.32,0.33,1.4,29,0.51,109,0.9902,3.15,0.029,12.8,7
6.6,0.16,0.3,1.6,15,0.44,78,0.992,3.38,0.034,11.2,6
8.4,0.16,0.33,1.5,16,0.42,98,0.994,3.14,0.033,9.7,6
7.5,0.23,0.32,9.2,54,0.56,191,0.9966,3.04,0.038,9.7,6
6.2,0.17,0.3,1.1,14,0.54,79,0.993,3.5,0.037,10.3,6
6.9,0.39,0.22,4.3,10,0.87,102,0.993,3,0.03,11.6,4
6.9,0.41,0.22,4.2,10,0.86,102,0.993,3,0.031,11.6,4
7.5,0.23,0.32,9.2,54,0.56,191,0.9966,3.04,0.038,9.7,6
7.5,0.38,0.33,5,30,0.44,131,0.9942,3.32,0.045,10.9,6
7.3,0.42,0.38,6.8,29,0.37,122,0.9925,3.19,0.045,12.6,7
7.3,0.34,0.39,5.2,45,0.47,163,0.9925,3.3,0.04,12.4,6
7.8,0.23,0.28,4.75,45,0.4,166,0.9928,2.96,0.042,11.5,5
9,0.245,0.38,5.9,52,0.35,159,0.995,2.93,0.045,10.2,6
6.9,0.2,0.4,7.7,51,0.27,176,0.9939,3.22,0.032,11.4,5
7.4,0.19,0.42,6.4,39,0.33,212,0.9958,3.3,0.067,9.6,6
8.2,0.2,0.36,8.1,60,0.3,163,0.9952,3.05,0.035,10.3,6
8,0.59,0.71,17.35,61,0.75,228,1,2.95,0.038,9.3,5
7.9,0.14,0.45,1.8,17,0.49,114,0.9948,3.33,0.05,10.7,7
6.8,0.24,0.4,1.8,34,0.49,105,0.99,3.13,0.047,12.8,8
9.7,0.14,0.59,1.5,23,0.62,142,0.9958,2.98,0.049,9.5,5
9.2,0.15,0.68,1.6,22,0.45,130,0.9948,3.02,0.046,10.4,6
9.4,0.17,0.55,1.6,14,0.61,94,0.9949,3.02,0.049,10.3,6
5.2,0.365,0.08,13.5,37,0.39,142,0.997,3.46,0.041,9.9,6
6.3,0.23,0.22,3.75,37,0.5,116,0.9927,3.23,0.039,10.7,6
9.6,0.25,0.54,1.3,16,0.43,160,0.9938,2.94,0.04,10.5,5
9.2,0.32,0.42,1.3,14,0.48,186,0.9949,3.08,0.046,9.6,5
6.4,0.31,0.4,6.2,46,0.46,169,0.9953,3.15,0.04,9.3,6
8.1,0.2,0.36,9.7,63,0.46,162,0.997,3.1,0.044,10,6
7.9,0.255,0.26,2,40,0.39,190,0.9932,3.04,0.026,11.2,6
7,0.15,0.34,1.4,21,0.62,177,0.9927,3.32,0.039,10.8,5
6.4,0.15,0.31,1.1,25,0.51,96,0.9932,3.54,0.044,10.3,6
6.4,0.25,0.53,6.6,59,0.42,234,0.9955,3.03,0.038,8.8,5
7.6,0.19,0.42,1.5,6,0.74,114,0.9914,3.04,0.044,12.8,6
7.3,0.43,0.37,4.6,17,0.43,114,0.991,3.23,0.028,13.2,6
5.1,0.31,0.3,0.9,28,0.56,152,0.992,3.54,0.037,10.1,6
6.2,0.2,0.26,1.7,40,0.66,161,0.9924,3.44,0.093,11,5
6.9,0.16,0.35,1.3,21,0.62,182,0.9927,3.25,0.043,10.8,6
7.7,0.32,0.48,2.3,28,0.52,114,0.9911,3.2,0.04,12.8,7
6.5,0.22,0.72,6.8,33,0.36,168,0.9958,3.12,0.042,9.2,6
6.8,0.26,0.33,1.5,44,0.44,167,0.9928,3.12,0.047,10.5,6
5.2,0.37,0.33,1.2,13,0.38,81,0.9902,3.37,0.028,11.7,6
8.4,0.19,0.43,2.1,20,0.46,104,0.994,2.85,0.052,9.5,5
8.3,0.21,0.41,2.2,24,0.45,108,0.994,2.85,0.05,9.5,5
6.8,0.15,0.32,8.8,24,0.4,110,0.9972,3.4,0.058,8.8,6
7.9,0.16,0.64,17,69,0.51,210,1.0004,3.15,0.05,9.3,7
7.8,0.21,0.39,1.8,62,0.75,180,0.991,3.09,0.034,12.6,8
9,0.24,0.5,1.2,26,0.34,107,0.9918,3.21,0.048,12.4,6
5.7,0.21,0.24,2.3,60,0.72,189,0.995,3.65,0.047,10.1,6
7.8,0.29,0.36,7,38,0.37,161,0.9941,3.26,0.042,11.2,8
6.7,0.18,0.3,6.4,40,0.52,251,0.9956,3.29,0.048,10,5
6.7,0.18,0.3,6.4,40,0.52,251,0.9956,3.29,0.048,10,5
8.4,0.58,0.27,12.15,37,0.39,116,0.9959,2.99,0.033,10.8,6
7.2,0.16,0.32,0.8,50,0.33,121,0.9922,3.27,0.04,10,6
7.6,0.54,0.23,2,13,0.33,151,0.9931,3.04,0.029,10.4,5
8.4,0.58,0.27,12.15,37,0.39,116,0.9959,2.99,0.033,10.8,6
6.6,0.25,0.31,12.4,52,0.47,181,0.9984,3.51,0.059,9.8,6
7.3,0.23,0.37,1.9,51,0.4,165,0.9908,3.26,0.041,12.2,8
7.3,0.39,0.37,1.1,36,0.48,113,0.991,3.39,0.043,12.7,8
7,0.46,0.39,6.2,46,0.35,163,0.9928,3.21,0.039,12.2,7
8.2,0.35,0.4,6.3,35,0.34,162,0.9936,3.15,0.039,11.9,7
7.8,0.29,0.36,7,38,0.37,161,0.9941,3.26,0.042,11.2,8
9.2,0.35,0.39,0.9,15,0.28,61,0.9924,2.96,0.042,10.4,4
8,0.57,0.39,3.9,22,0.67,122,0.9917,3.29,0.034,12.8,7
6.5,0.37,0.33,3.9,40,0.39,130,0.9906,3.28,0.027,12.7,7
5.7,0.21,0.24,2.3,60,0.72,189,0.995,3.65,0.047,10.1,6
6.7,0.18,0.3,6.4,40,0.52,251,0.9956,3.29,0.048,10,5
7.8,0.13,0.3,1.8,43,0.41,179,0.9955,3.43,0.04,9,5
7.6,0.19,0.41,1.1,38,0.42,143,0.9907,2.92,0.04,11.4,5
7.3,0.22,0.41,15.4,55,0.59,191,1,3.32,0.05,8.9,6
6.3,0.29,0.4,6.5,43,0.44,167,0.9953,3.15,0.039,9.3,6
6.8,0.35,0.32,2.4,35,0.46,103,0.9911,3.28,0.048,12,8
6.5,0.19,0.32,1.4,31,0.54,132,0.9922,3.36,0.04,10.8,7
6.2,0.12,0.26,5.7,56,0.37,158,0.9951,3.52,0.044,10.5,6
6,0.13,0.28,5.7,56,0.43,189.5,0.9948,3.59,0.038,10.6,7
6.4,0.25,0.33,1.4,42,0.48,115,0.9906,3.19,0.04,11.3,7
6.9,0.32,0.16,1.4,15,0.38,96,0.994,3.22,0.051,9.5,4
7.6,0.19,0.41,1.1,38,0.42,143,0.9907,2.92,0.04,11.4,5
6.7,0.13,0.28,1.2,35,0.33,140,0.9927,3.33,0.046,10.1,7
7,0.14,0.41,0.9,22,0.43,95,0.9914,3.25,0.037,10.9,6
7.6,0.27,0.24,3.8,19,0.45,115,0.9958,3.15,0.058,8.9,5
7.3,0.22,0.41,15.4,55,0.59,191,1,3.32,0.05,8.9,6
7.4,0.64,0.47,14.15,42,0.49,185,0.9984,2.9,0.168,9.3,5
7.6,0.28,0.39,1.9,23,0.4,116,0.9941,3.25,0.052,10.4,6
8.3,0.26,0.41,9.2,41,0.38,162,0.9944,3.1,0.042,12,7
10.7,0.22,0.56,8.2,37,0.68,181,0.998,2.87,0.044,9.5,6
10.7,0.22,0.56,8.2,37,0.68,181,0.998,2.87,0.044,9.5,6
6.9,0.23,0.34,2.7,24,0.38,121,0.9902,3.14,0.032,12.4,7
6.2,0.3,0.32,1.7,30,0.41,130,0.9911,3.28,0.032,11.2,7
6.9,0.27,0.41,1.7,6,0.69,134,0.9929,3.15,0.047,11.4,6
6.9,0.28,0.41,1.7,10,0.71,136,0.993,3.16,0.05,11.4,6
6.9,0.28,0.3,1.6,46,0.38,132,0.9918,3.35,0.047,11.1,7
6.9,0.46,0.2,0.9,5,0.42,126,0.992,3.1,0.054,10.4,6
6.9,0.38,0.32,8.5,36,0.35,152,0.9932,3.38,0.044,12,7
5.7,0.43,0.3,5.7,24,0.61,98,0.992,3.54,0.039,12.3,7
6.6,0.56,0.16,3.1,28,0.35,92,0.994,3.12,0.045,9.1,6
7.1,0.36,0.56,1.3,25,0.33,102,0.9923,3.24,0.046,10.5,6
6.8,0.23,0.4,1.6,5,0.7,133,0.993,3.23,0.047,11.4,6
6.2,0.33,0.29,1.3,26,0.64,138,0.9956,3.77,0.042,9.5,5
5.6,0.49,0.13,4.5,17,0.9,116,0.9907,3.42,0.039,13.7,7
6.6,0.42,0.33,2.8,15,0.51,85,0.99,3.28,0.034,13.4,6
7.3,0.18,0.29,1.2,12,0.48,143,0.9918,3.2,0.044,11.3,7
8.1,0.19,0.4,0.9,73,0.34,180,0.9926,3.06,0.037,10,6
5.9,0.19,0.26,7.4,33,0.42,123,0.995,3.49,0.034,10.1,6
6.2,0.16,0.47,1.4,23,0.42,81,0.99,3.26,0.029,12.2,6
6.6,0.42,0.33,2.8,15,0.51,85,0.99,3.28,0.034,13.4,6
5.7,0.135,0.3,4.6,19,0.42,101,0.9946,3.31,0.042,9.3,6
5.6,0.49,0.13,4.5,17,0.9,116,0.9907,3.42,0.039,13.7,7
6.9,0.19,0.33,1.6,27,0.46,98,0.9898,3.09,0.039,12.3,7
7.3,0.18,0.29,1.2,12,0.48,143,0.9918,3.2,0.044,11.3,7
7.3,0.25,0.36,13.1,35,0.46,200,0.9986,3.04,0.05,8.9,7
7.3,0.25,0.36,13.1,35,0.46,200,0.9986,3.04,0.05,8.9,7
7,0.2,0.34,5.7,32,0.46,83,0.9928,3.19,0.035,11.5,6
7.3,0.25,0.36,13.1,35,0.46,200,0.9986,3.04,0.05,8.9,7
6.3,0.67,0.48,12.6,57,0.52,222,0.9979,3.17,0.052,9.3,6
7.4,0.4,0.29,5.4,31,0.5,122,0.994,3.3,0.044,11.1,8
7.1,0.26,0.31,2.2,29,0.64,128,0.9937,3.34,0.044,10.9,8
9,0.31,0.48,6.6,11,0.38,73,0.9938,2.9,0.043,11.6,5
6.3,0.39,0.24,6.9,9,0.35,117,0.9942,3.15,0.069,10.2,4
8.2,0.22,0.36,6.8,12,0.38,90,0.9944,3.01,0.034,10.5,8
7.1,0.19,0.28,3.6,16,0.78,78,0.993,2.91,0.033,11.4,6
7.3,0.25,0.36,13.1,35,0.46,200,0.9986,3.04,0.05,8.9,7
7.9,0.2,0.34,1.2,29,0.41,118,0.9932,3.14,0.04,10.6,6
7.1,0.26,0.32,5.9,39,0.4,97,0.9934,3.31,0.037,11.6,6
7,0.2,0.34,5.7,32,0.46,83,0.9928,3.19,0.035,11.5,6
6.9,0.3,0.33,4.1,26,0.79,155,0.9925,3.25,0.035,12.3,8
8.1,0.29,0.49,7.1,22,0.41,124,0.9944,3.14,0.042,10.8,6
5.8,0.17,0.3,1.4,55,0.38,130,0.9909,3.29,0.037,11.3,6
5.9,0.415,0.02,0.8,22,0.36,63,0.9932,3.36,0.038,9.3,5
6.6,0.23,0.26,1.3,16,0.6,128,0.9934,3.36,0.045,10,6
8.6,0.55,0.35,15.55,35.5,0.63,366.5,1.0001,3.04,0.057,11,3
6.9,0.35,0.74,1,18,0.55,132,0.992,3.13,0.044,10.2,5
7.6,0.14,0.74,1.6,27,0.4,103,0.9916,3.07,0.04,10.8,7
9.2,0.28,0.49,11.8,29,0.34,137,0.998,3.1,0.042,10.1,4
6.2,0.18,0.49,4.5,17,0.37,90,0.9919,3.27,0.047,11.6,6
5.3,0.165,0.24,1.1,25,0.47,105,0.9925,3.32,0.051,9.1,5
9.8,0.25,0.74,10,36,0.43,225,0.9977,3.06,0.056,10,4
8.1,0.29,0.49,7.1,22,0.41,124,0.9944,3.14,0.042,10.8,6
6.8,0.22,0.49,0.9,26,0.35,128,0.991,3.25,0.052,11.4,6
7.2,0.22,0.49,1,34,0.34,140,0.99,3.05,0.045,12.7,6
7.4,0.25,0.49,1.1,35,0.55,156,0.9917,3.13,0.042,11.3,5
8.2,0.18,0.49,1.1,28,0.68,81,0.9923,3,0.033,10.4,7
6.1,0.22,0.49,1.5,18,0.46,87,0.9928,3.3,0.051,9.6,5
7,0.39,0.24,1,8,0.31,119,0.9923,3,0.048,10.1,4
6.1,0.22,0.49,1.5,18,0.46,87,0.9928,3.3,0.051,9.6,5
6.5,0.36,0.49,2.9,16,0.49,94,0.9902,3.1,0.03,12.1,7
7.1,0.29,0.49,1.2,32,0.33,99,0.9893,3.07,0.031,12.2,6
7.4,0.25,0.49,1.1,35,0.55,156,0.9917,3.13,0.042,11.3,5
6.9,0.23,0.24,14.2,19,0.5,94,0.9982,3.17,0.053,9.6,5
8.5,0.56,0.74,17.85,51,0.7,243,1.0005,2.99,0.051,9.2,5
8.2,0.18,0.49,1.1,28,0.68,81,0.9923,3,0.033,10.4,7
6.3,0.23,0.49,7.1,67,0.34,210,0.9951,3.23,0.05,9.5,5
6.1,0.25,0.49,7.6,67,0.47,226,0.9956,3.16,0.052,8.9,5
7.2,0.26,0.74,13.6,56,0.44,162,0.998,3.03,0.05,8.8,5
7.2,0.31,0.24,1.4,17,0.35,117,0.9928,3.16,0.057,10.5,5
8,0.25,0.49,1.2,27,0.34,117,0.9938,3.08,0.061,9.4,5
7,0.18,0.49,5.3,34,0.4,125,0.9914,3.24,0.04,12.2,6
7.8,0.43,0.49,13,37,0.35,158,0.9955,3.14,0.033,11.3,6
8.3,0.2,0.74,4.45,33,0.42,130,0.9924,3.25,0.044,12.2,6
6.3,0.27,0.49,1.2,35,0.42,92,0.9911,3.38,0.063,12.2,6
7.4,0.16,0.49,1.2,18,0.47,150,0.9917,3.23,0.055,11.2,6
7.4,0.16,0.49,1.2,18,0.47,150,0.9917,3.23,0.055,11.2,6
6.9,0.19,0.49,6.6,49,0.27,172,0.9932,3.2,0.036,11.5,6
7.8,0.43,0.49,13,37,0.35,158,0.9955,3.14,0.033,11.3,6
7.2,0.4,0.49,1.1,11,0.42,138,0.9929,3.01,0.048,9.3,5
7.8,0.43,0.49,13,37,0.35,158,0.9955,3.14,0.033,11.3,6
7.6,0.52,0.49,14,37,0.38,156,0.9958,3.14,0.034,11.8,7
8.3,0.21,0.49,19.8,50,0.54,231,1.0012,2.99,0.054,9.2,5
6.9,0.34,0.74,11.2,44,0.81,150,0.9968,3,0.069,9.2,5
6.3,0.27,0.49,1.2,35,0.42,92,0.9911,3.38,0.063,12.2,6
8.3,0.2,0.74,4.45,33,0.42,130,0.9924,3.25,0.044,12.2,6
7.1,0.22,0.74,2.7,42,0.41,144,0.991,3.31,0.044,12.2,6
7.9,0.11,0.49,4.5,27,0.42,133,0.9946,3.24,0.048,10.6,6
8.5,0.17,0.74,3.6,29,0.4,128,0.9928,3.28,0.05,12.4,6
6.4,0.145,0.49,5.4,54,0.44,164,0.9946,3.56,0.048,10.8,6
7.4,0.16,0.49,1.2,18,0.47,150,0.9917,3.23,0.055,11.2,6
8.3,0.19,0.49,1.2,11,0.46,137,0.9918,3.06,0.051,11,6
8,0.44,0.49,9.1,46,0.27,151,0.9926,3.16,0.031,12.7,8
7,0.2,0.74,0.8,19,0.53,163,0.9931,3.46,0.044,10.2,5
6.9,0.19,0.49,6.6,49,0.27,172,0.9932,3.2,0.036,11.5,6
7.1,0.25,0.49,3,30,0.39,96,0.9903,3.13,0.03,12.3,7
6.5,0.24,0.24,1.6,15,0.39,60,0.9928,3.19,0.046,9.8,5
7.2,0.4,0.49,1.1,11,0.42,138,0.9929,3.01,0.048,9.3,5
7.6,0.52,0.49,14,37,0.38,156,0.9958,3.14,0.034,11.8,7
7.8,0.43,0.49,13,37,0.35,158,0.9955,3.14,0.033,11.3,6
7.8,0.21,0.49,1.35,6,0.28,48,0.9911,3.15,0.052,11.4,5
7,0.2,0.49,5.9,39,0.48,128,0.9938,3.21,0.038,10.8,6
6.9,0.25,0.24,3.6,13,0.48,85,0.9942,2.99,0.057,9.5,4
7.2,0.08,0.49,1.3,18,0.44,148,0.9945,3.46,0.05,10.2,6
7.1,0.85,0.49,8.7,40,0.36,184,0.9962,3.22,0.028,10.7,5
7.6,0.51,0.24,1.2,10,0.29,104,0.992,3.05,0.04,10.8,6
7.9,0.22,0.24,4.6,39,0.28,159,0.9927,2.99,0.044,11.5,6
7.7,0.16,0.49,2,20,0.49,124,0.9948,3.32,0.056,10.7,6
7.2,0.08,0.49,1.3,18,0.44,148,0.9945,3.46,0.05,10.2,6
6.6,0.25,0.24,1.7,26,0.6,124,0.9942,3.37,0.048,10.1,6
6.7,0.16,0.49,2.4,57,0.81,187,0.9952,3.62,0.046,10.4,6
6.9,0.25,0.24,3.6,13,0.48,85,0.9942,2.99,0.057,9.5,4
7.5,0.32,0.24,4.6,8,0.5,134,0.9958,3.14,0.053,9.1,3
7.4,0.28,0.49,1.5,20,0.39,126,0.9918,2.98,0.034,10.6,6
6.2,0.15,0.49,0.9,17,0.7,51,0.9932,3.3,0.033,9.4,6
6.7,0.25,0.74,19.4,44,0.45,169,1.0004,3.51,0.054,9.8,6
6.5,0.26,0.74,13.3,68,0.54,224,0.9972,3.18,0.044,9.5,6
7.9,0.16,0.74,17.85,52,0.41,187,0.9998,2.99,0.037,9.3,5
5.6,0.185,0.49,1.1,28,0.45,117,0.9918,3.55,0.03,10.3,6
7.5,0.2,0.49,1.3,8,0.62,97,0.9918,3.06,0.031,11.1,5
8,0.3,0.49,9.4,47,0.48,188,0.9964,3.14,0.046,10,5
8,0.34,0.49,9,39,0.38,180,0.9936,3.13,0.033,12.3,8
7.7,0.35,0.49,8.65,42,0.38,186,0.9931,3.14,0.033,12.4,8
7.6,0.29,0.49,9.6,45,0.38,197,0.9938,3.13,0.03,12.3,7
6.7,0.62,0.24,1.1,6,0.32,62,0.9934,3.41,0.039,10.4,5
6.8,0.27,0.49,1.2,35,0.48,126,0.99,3.13,0.044,12.1,7
7.7,0.27,0.49,1.8,23,0.42,86,0.9914,3.16,0.041,12.5,6
6.7,0.51,0.24,2.1,14,0.6,155,0.9904,3.22,0.043,13,6
7.4,0.19,0.49,9.3,26,0.32,132,0.994,2.99,0.03,11,7
8.3,0.2,0.49,1.7,34,0.37,169,0.9938,3.05,0.04,10.1,5
6.6,0.3,0.24,1.2,17,0.36,121,0.9933,3.13,0.034,9.2,5
6.8,0.36,0.24,4.6,24,0.34,124,0.9909,3.27,0.039,12.6,7
